OrderID,CustomerID,SalespersonPersonID,ContactPersonID,OrderDate
156544,718,6,773,2013-01-01
156545,907,16,966,2013-01-01
156546,799,3,855,2013-01-01
156547,1000,2,1060,2013-01-01
156548,752,2,808,2013-01-01
156549,144,7,194,2013-01-01
156550,374,6,426,2013-01-01
156551,518,16,571,2013-01-01
156552,909,13,968,2013-01-01
156553,303,16,355,2013-01-01
156554,72,16,121,2013-01-01
156555,848,2,905,2013-01-01
156556,156,7,206,2013-01-01
156557,46,2,94,2013-01-02
156558,431,2,483,2013-01-02
156559,884,8,943,2013-01-02
156560,711,8,766,2013-01-02
156561,492,13,545,2013-01-02
156562,82,13,131,2013-01-02
156563,465,8,517,2013-01-02
156564,735,6,790,2013-01-02
156565,353,20,405,2013-01-02
156566,168,15,218,2013-01-02
156567,63,20,111,2013-01-02
156568,629,8,683,2013-01-02
156569,755,16,811,2013-01-02
156570,909,13,968,2013-01-02
156571,144,13,194,2013-01-02
156572,829,7,886,2013-01-02
156573,861,14,919,2013-01-02
156574,58,8,106,2013-01-02
156575,822,8,879,2013-01-02
156576,1,6,47,2013-01-02
156577,960,20,1020,2013-01-02
156578,128,3,177,2013-01-02
156579,450,2,502,2013-01-02
156580,906,3,965,2013-01-02
156581,561,7,615,2013-01-02
156582,973,7,1033,2013-01-02
156583,974,16,1034,2013-01-02
156584,311,16,363,2013-01-02
156585,825,15,882,2013-01-02
156586,683,8,738,2013-01-02
156587,83,20,132,2013-01-02
156588,540,14,593,2013-01-02
156589,465,8,517,2013-01-02
156590,759,15,815,2013-01-02
156591,116,16,165,2013-01-02
156592,461,7,513,2013-01-02
156593,47,6,95,2013-01-02
156594,106,20,155,2013-01-02
156595,850,14,907,2013-01-02
156596,104,14,153,2013-01-02
156597,847,16,904,2013-01-02
156598,14,20,61,2013-01-02
156599,634,15,688,2013-01-02
156600,620,15,674,2013-01-02
156601,632,15,686,2013-01-02
156602,160,7,210,2013-01-02
156603,774,15,830,2013-01-02
156604,392,3,444,2013-01-02
156605,714,2,769,2013-01-02
156606,810,3,866,2013-01-02
156607,632,13,686,2013-01-02
156608,589,3,643,2013-01-02
156609,6,15,53,2013-01-02
156610,1004,14,1064,2013-01-02
156611,229,16,279,2013-01-02
156612,624,6,678,2013-01-02
156613,236,3,286,2013-01-02
156614,441,6,493,2013-01-02
156615,564,14,618,2013-01-02
156616,410,2,462,2013-01-02
156617,759,3,815,2013-01-02
156618,770,2,826,2013-01-02
156619,474,2,527,2013-01-02
156620,609,6,663,2013-01-02
156621,119,8,168,2013-01-02
156622,980,20,1040,2013-01-02
156623,628,3,682,2013-01-02
156624,103,2,152,2013-01-02
156625,593,20,647,2013-01-02
156626,46,2,94,2013-01-02
156627,884,8,943,2013-01-02
156628,492,13,545,2013-01-02
156629,82,13,131,2013-01-02
156630,465,8,517,2013-01-02
156631,63,20,111,2013-01-02
156632,629,8,683,2013-01-02
156633,822,8,879,2013-01-02
156634,960,20,1020,2013-01-02
156635,561,7,615,2013-01-02
156636,973,7,1033,2013-01-02
156637,974,16,1034,2013-01-02
156638,825,15,882,2013-01-02
156639,683,8,738,2013-01-02
156640,83,20,132,2013-01-02
156641,465,8,517,2013-01-02
156642,116,16,165,2013-01-02
156643,106,20,155,2013-01-02
156644,850,14,907,2013-01-02
156645,104,14,153,2013-01-02
156646,634,15,688,2013-01-02
156647,620,15,674,2013-01-02
156648,392,3,444,2013-01-02
156649,714,2,769,2013-01-02
156650,632,13,686,2013-01-02
156651,589,3,643,2013-01-02
156652,1004,14,1064,2013-01-02
156653,229,16,279,2013-01-02
156654,441,6,493,2013-01-02
156655,564,14,618,2013-01-02
156656,410,2,462,2013-01-02
156657,119,8,168,2013-01-02
156658,980,20,1040,2013-01-02
156659,752,20,808,2013-01-03
156660,597,6,651,2013-01-03
156661,931,7,991,2013-01-03
156662,723,8,778,2013-01-03
156663,85,7,134,2013-01-03
156664,889,6,948,2013-01-03
156665,571,16,625,2013-01-03
156666,300,3,352,2013-01-03
156667,401,3,453,2013-01-03
156668,451,3,503,2013-01-03
156669,744,2,799,2013-01-03
156670,196,15,246,2013-01-03
156671,413,13,465,2013-01-03
156672,167,8,217,2013-01-03
156673,299,2,351,2013-01-03
156674,740,8,795,2013-01-03
156675,991,8,1051,2013-01-03
156676,924,13,984,2013-01-03
156677,146,8,196,2013-01-03
156678,695,15,750,2013-01-03
156679,713,14,768,2013-01-03
156680,936,7,996,2013-01-03
156681,807,15,863,2013-01-03
156682,320,14,372,2013-01-03
156683,238,15,288,2013-01-03
156684,941,7,1001,2013-01-03
156685,47,3,95,2013-01-03
156686,708,3,763,2013-01-03
156687,966,3,1026,2013-01-03
156688,168,3,218,2013-01-03
156689,848,20,905,2013-01-03
156690,566,15,620,2013-01-03
156691,469,13,521,2013-01-03
156692,541,7,594,2013-01-03
156693,408,20,460,2013-01-03
156694,771,14,827,2013-01-03
156695,881,13,940,2013-01-03
156696,911,6,970,2013-01-03
156697,326,16,378,2013-01-03
156698,707,15,762,2013-01-03
156699,24,2,71,2013-01-03
156700,189,14,239,2013-01-03
156701,760,7,816,2013-01-03
156702,809,7,865,2013-01-03
156703,461,13,513,2013-01-03
156704,738,14,793,2013-01-03
156705,609,3,663,2013-01-03
156706,854,16,911,2013-01-03
156707,642,7,696,2013-01-03
156708,879,7,938,2013-01-03
156709,859,20,917,2013-01-03
156710,689,13,744,2013-01-03
156711,541,2,594,2013-01-03
156712,366,6,418,2013-01-03
156713,984,14,1044,2013-01-03
156714,260,7,310,2013-01-03
156715,707,15,762,2013-01-03
156716,683,8,738,2013-01-02
156717,589,3,643,2013-01-02
156718,597,6,651,2013-01-03
156719,85,7,134,2013-01-03
156720,401,3,453,2013-01-03
156721,936,7,996,2013-01-03
156722,238,15,288,2013-01-03
156723,848,20,905,2013-01-03
156724,469,13,521,2013-01-03
156725,911,6,970,2013-01-03
156726,24,2,71,2013-01-03
156727,738,14,793,2013-01-03
156728,642,7,696,2013-01-03
156729,879,7,938,2013-01-03
156730,260,7,310,2013-01-03
156731,47,6,95,2013-01-04
156732,359,20,411,2013-01-04
156733,496,2,549,2013-01-04
156734,90,15,139,2013-01-04
156735,880,7,939,2013-01-04
156736,574,20,628,2013-01-04
156737,426,7,478,2013-01-04
156738,511,7,564,2013-01-04
156739,417,3,469,2013-01-04
156740,91,13,140,2013-01-04
156741,449,8,501,2013-01-04
156742,777,15,833,2013-01-04
156743,784,6,840,2013-01-04
156744,138,15,188,2013-01-04
156745,385,7,437,2013-01-04
156746,794,3,850,2013-01-04
156747,312,16,364,2013-01-04
156748,197,16,247,2013-01-04
156749,792,20,848,2013-01-04
156750,240,20,290,2013-01-04
156751,576,15,630,2013-01-04
156752,807,7,863,2013-01-04
156753,213,2,263,2013-01-04
156754,867,15,925,2013-01-04
156755,762,8,818,2013-01-04
156756,17,6,64,2013-01-04
156757,11,6,58,2013-01-04
156758,704,6,759,2013-01-04
156759,849,7,906,2013-01-04
156760,65,13,114,2013-01-04
156761,850,7,907,2013-01-04
156762,116,13,165,2013-01-04
156763,13,2,60,2013-01-04
156764,760,8,816,2013-01-04
156765,783,7,839,2013-01-04
156766,346,8,398,2013-01-04
156767,865,8,923,2013-01-04
156768,850,13,907,2013-01-04
156769,344,14,396,2013-01-04
156770,900,14,959,2013-01-04
156771,799,20,855,2013-01-04
156772,177,14,227,2013-01-04
156773,165,20,215,2013-01-04
156774,457,16,509,2013-01-04
156775,491,13,544,2013-01-04
156776,377,6,429,2013-01-04
156777,615,16,669,2013-01-04
156778,39,3,87,2013-01-04
156779,6,2,53,2013-01-04
156780,510,16,563,2013-01-04
156781,451,15,503,2013-01-04
156782,712,13,767,2013-01-04
156783,199,20,249,2013-01-04
156784,352,3,404,2013-01-04
156785,121,20,170,2013-01-04
156786,133,7,182,2013-01-04
156787,1006,2,1066,2013-01-04
156788,458,15,510,2013-01-04
156789,393,13,445,2013-01-04
156790,662,14,716,2013-01-04
156791,437,14,489,2013-01-04
156792,35,7,83,2013-01-04
156793,674,16,729,2013-01-04
156794,835,2,892,2013-01-04
156795,433,8,485,2013-01-04
156796,549,16,602,2013-01-04
156797,496,2,549,2013-01-04
156798,574,20,628,2013-01-04
156799,794,3,850,2013-01-04
156800,197,16,247,2013-01-04
156801,807,7,863,2013-01-04
156802,762,8,818,2013-01-04
156803,17,6,64,2013-01-04
156804,865,8,923,2013-01-04
156805,352,3,404,2013-01-04
156806,121,20,170,2013-01-04
156807,662,14,716,2013-01-04
156808,499,3,552,2013-01-05
156809,329,8,381,2013-01-05
156810,141,15,191,2013-01-05
156811,897,15,956,2013-01-05
156812,596,7,650,2013-01-05
156813,51,6,99,2013-01-05
156814,455,15,507,2013-01-05
156815,682,20,737,2013-01-05
156816,367,2,419,2013-01-05
156817,399,7,451,2013-01-05
156818,941,6,1001,2013-01-05
156819,166,16,216,2013-01-05
156820,510,20,563,2013-01-05
156821,102,14,151,2013-01-05
156822,376,3,428,2013-01-05
156823,720,2,775,2013-01-05
156824,399,7,451,2013-01-05
156825,941,6,1001,2013-01-05
156826,166,16,216,2013-01-05
156827,102,14,151,2013-01-05
156828,376,3,428,2013-01-05
156829,644,2,698,2013-01-07
156830,219,8,269,2013-01-07
156831,377,20,429,2013-01-07
156832,280,3,332,2013-01-07
156833,467,13,519,2013-01-07
156834,797,8,853,2013-01-07
156835,580,16,634,2013-01-07
156836,85,2,134,2013-01-07
156837,39,15,87,2013-01-07
156838,20,3,67,2013-01-07
156839,945,20,1005,2013-01-07
156840,396,15,448,2013-01-07
156841,783,3,839,2013-01-07
156842,114,14,163,2013-01-07
156843,987,20,1047,2013-01-07
156844,423,13,475,2013-01-07
156845,812,20,868,2013-01-07
156846,822,20,879,2013-01-07
156847,647,8,701,2013-01-07
156848,758,8,814,2013-01-07
156849,310,14,362,2013-01-07
156850,725,3,780,2013-01-07
156851,26,6,73,2013-01-07
156852,37,14,85,2013-01-07
156853,945,8,1005,2013-01-07
156854,69,2,118,2013-01-07
156855,874,7,932,2013-01-07
156856,251,15,301,2013-01-07
156857,6,16,53,2013-01-07
156858,986,14,1046,2013-01-07
156859,271,15,322,2013-01-07
156860,29,2,76,2013-01-07
156861,250,20,300,2013-01-07
156862,753,2,809,2013-01-07
156863,141,15,191,2013-01-07
156864,233,2,283,2013-01-07
156865,569,14,623,2013-01-07
156866,649,13,703,2013-01-07
156867,454,2,506,2013-01-07
156868,945,14,1005,2013-01-07
156869,364,2,416,2013-01-07
156870,176,20,226,2013-01-07
156871,1003,14,1063,2013-01-07
156872,77,8,126,2013-01-07
156873,731,3,786,2013-01-07
156874,702,8,757,2013-01-07
156875,364,2,416,2013-01-07
156876,716,13,771,2013-01-07
156877,969,3,1029,2013-01-07
156878,478,2,531,2013-01-07
156879,162,6,212,2013-01-07
156880,775,15,831,2013-01-07
156881,190,2,240,2013-01-07
156882,367,14,419,2013-01-07
156883,928,15,988,2013-01-07
156884,387,8,439,2013-01-07
156885,105,3,154,2013-01-07
156886,380,14,432,2013-01-07
156887,1001,20,1061,2013-01-07
156888,422,7,474,2013-01-07
156889,147,13,197,2013-01-07
156890,900,6,959,2013-01-07
156891,933,8,993,2013-01-07
156892,941,13,1001,2013-01-07
156893,594,16,648,2013-01-07
156894,556,6,609,2013-01-07
156895,729,14,784,2013-01-07
156896,683,7,738,2013-01-07
156897,553,3,606,2013-01-07
156898,400,6,452,2013-01-07
156899,467,13,519,2013-01-07
156900,753,2,809,2013-01-07
156901,969,3,1029,2013-01-07
156902,729,14,784,2013-01-07
156903,683,7,738,2013-01-07
156904,553,3,606,2013-01-07
156905,138,15,188,2013-01-08
156906,919,2,979,2013-01-08
156907,272,8,323,2013-01-08
156908,831,13,888,2013-01-08
156909,880,20,939,2013-01-08
156910,617,6,671,2013-01-08
156911,961,13,1021,2013-01-08
156912,983,16,1043,2013-01-08
156913,760,14,816,2013-01-08
156914,863,8,921,2013-01-08
156915,43,14,91,2013-01-08
156916,49,13,97,2013-01-08
156917,640,3,694,2013-01-08
156918,575,2,629,2013-01-08
156919,932,16,992,2013-01-08
156920,725,6,780,2013-01-08
156921,626,8,680,2013-01-08
156922,290,14,342,2013-01-08
156923,833,3,890,2013-01-08
156924,371,8,423,2013-01-08
156925,355,8,407,2013-01-08
156926,534,14,587,2013-01-08
156927,681,3,736,2013-01-08
156928,490,3,543,2013-01-08
156929,515,3,568,2013-01-08
156930,494,16,547,2013-01-08
156931,349,13,401,2013-01-08
156932,333,8,385,2013-01-08
156933,22,2,69,2013-01-08
156934,333,16,385,2013-01-08
156935,842,13,899,2013-01-08
156936,305,14,357,2013-01-08
156937,740,20,795,2013-01-08
156938,97,7,146,2013-01-08
156939,157,16,207,2013-01-08
156940,534,13,587,2013-01-08
156941,160,2,210,2013-01-08
156942,338,8,390,2013-01-08
156943,788,16,844,2013-01-08
156944,825,3,882,2013-01-08
156945,723,14,778,2013-01-08
156946,783,15,839,2013-01-08
156947,61,16,109,2013-01-08
156948,542,8,595,2013-01-08
156949,386,2,438,2013-01-08
156950,361,2,413,2013-01-08
156951,480,2,533,2013-01-08
156952,434,13,486,2013-01-08
156953,950,7,1010,2013-01-08
156954,534,20,587,2013-01-08
156955,610,3,664,2013-01-08
156956,387,8,439,2013-01-08
156957,38,6,86,2013-01-08
156958,118,7,167,2013-01-08
156959,690,15,745,2013-01-08
156960,847,6,904,2013-01-08
156961,292,3,344,2013-01-08
156962,319,15,371,2013-01-08
156963,568,2,622,2013-01-08
156964,895,8,954,2013-01-08
156965,1002,2,1062,2013-01-08
156966,802,15,858,2013-01-08
156967,646,8,700,2013-01-08
156968,285,2,337,2013-01-08
156969,388,16,440,2013-01-08
156970,553,3,606,2013-01-07
156971,919,2,979,2013-01-08
156972,534,14,587,2013-01-08
156973,490,3,543,2013-01-08
156974,842,13,899,2013-01-08
156975,97,7,146,2013-01-08
156976,783,15,839,2013-01-08
156977,542,8,595,2013-01-08
156978,361,2,413,2013-01-08
156979,38,6,86,2013-01-08
156980,846,13,903,2013-01-09
156981,164,7,214,2013-01-09
156982,880,20,939,2013-01-09
156983,775,2,831,2013-01-09
156984,317,6,369,2013-01-09
156985,583,20,637,2013-01-09
156986,163,20,213,2013-01-09
156987,663,13,717,2013-01-09
156988,489,15,542,2013-01-09
156989,123,15,172,2013-01-09
156990,280,14,332,2013-01-09
156991,422,2,474,2013-01-09
156992,677,20,732,2013-01-09
156993,206,7,256,2013-01-09
156994,309,13,361,2013-01-09
156995,798,15,854,2013-01-09
156996,571,2,625,2013-01-09
156997,227,16,277,2013-01-09
156998,558,16,612,2013-01-09
156999,427,15,479,2013-01-09
157000,321,2,373,2013-01-09
157001,996,14,1056,2013-01-09
157002,167,8,217,2013-01-09
157003,281,3,333,2013-01-09
157004,513,14,566,2013-01-09
157005,273,2,325,2013-01-09
157006,549,2,602,2013-01-09
157007,819,7,876,2013-01-09
157008,638,14,692,2013-01-09
157009,620,8,674,2013-01-09
157010,405,16,457,2013-01-09
157011,181,20,231,2013-01-09
157012,919,2,979,2013-01-09
157013,653,2,707,2013-01-09
157014,138,8,188,2013-01-09
157015,435,14,487,2013-01-09
157016,664,3,718,2013-01-09
157017,199,14,249,2013-01-09
157018,694,15,749,2013-01-09
157019,119,13,168,2013-01-09
157020,254,13,304,2013-01-09
157021,864,15,922,2013-01-09
157022,72,15,121,2013-01-09
157023,903,20,962,2013-01-09
157024,386,2,438,2013-01-09
157025,929,14,989,2013-01-09
157026,916,2,975,2013-01-09
157027,555,16,608,2013-01-09
157028,829,15,886,2013-01-09
157029,808,2,864,2013-01-09
157030,348,2,400,2013-01-09
157031,504,3,557,2013-01-09
157032,177,14,227,2013-01-09
157033,17,3,64,2013-01-09
157034,501,13,554,2013-01-09
157035,197,16,247,2013-01-09
157036,795,13,851,2013-01-09
157037,164,7,214,2013-01-09
157038,775,2,831,2013-01-09
157039,422,2,474,2013-01-09
157040,571,2,625,2013-01-09
157041,829,15,886,2013-01-09
157042,504,3,557,2013-01-09
157043,197,16,247,2013-01-09
157044,436,2,488,2013-01-10
157045,9,16,56,2013-01-10
157046,618,3,672,2013-01-10
157047,546,13,599,2013-01-10
157048,876,7,935,2013-01-10
157049,768,7,824,2013-01-10
157050,302,3,354,2013-01-10
157051,1,20,47,2013-01-10
157052,394,14,446,2013-01-10
157053,545,6,598,2013-01-10
157054,324,14,376,2013-01-10
157055,406,7,458,2013-01-10
157056,310,8,362,2013-01-10
157057,794,8,850,2013-01-10
157058,29,16,76,2013-01-10
157059,547,7,600,2013-01-10
157060,156,8,206,2013-01-10
157061,712,13,767,2013-01-10
157062,46,7,94,2013-01-10
157063,811,13,867,2013-01-10
157064,451,7,503,2013-01-10
157065,764,7,820,2013-01-10
157066,552,7,605,2013-01-10
157067,91,8,140,2013-01-10
157068,623,2,677,2013-01-10
157069,237,6,287,2013-01-10
157070,35,8,83,2013-01-10
157071,590,13,644,2013-01-10
157072,686,6,741,2013-01-10
157073,65,2,114,2013-01-10
157074,376,6,428,2013-01-10
157075,29,8,76,2013-01-10
157076,17,8,64,2013-01-10
157077,502,16,555,2013-01-10
157078,606,3,660,2013-01-10
157079,922,14,982,2013-01-10
157080,138,14,188,2013-01-10
157081,504,3,557,2013-01-10
157082,725,16,780,2013-01-10
157083,713,13,768,2013-01-10
157084,943,16,1003,2013-01-10
157085,710,6,765,2013-01-10
157086,891,16,950,2013-01-10
157087,42,16,90,2013-01-10
157088,449,16,501,2013-01-10
157089,224,20,274,2013-01-10
157090,514,20,567,2013-01-10
157091,271,15,322,2013-01-10
157092,650,16,704,2013-01-10
157093,421,20,473,2013-01-10
157094,272,16,323,2013-01-10
157095,294,2,346,2013-01-10
157096,778,20,834,2013-01-10
157097,748,15,803,2013-01-10
157098,212,3,262,2013-01-10
157099,410,3,462,2013-01-10
157100,879,14,938,2013-01-10
157101,257,2,307,2013-01-10
157102,982,7,1042,2013-01-10
157103,419,7,471,2013-01-10
157104,150,7,200,2013-01-10
157105,941,20,1001,2013-01-10
157106,597,7,651,2013-01-10
157107,676,15,731,2013-01-10
157108,929,20,989,2013-01-10
157109,217,20,267,2013-01-10
157110,326,8,378,2013-01-10
157111,876,7,935,2013-01-10
157112,778,20,834,2013-01-10
157113,419,7,471,2013-01-10
157114,193,16,243,2013-01-11
157115,459,20,511,2013-01-11
157116,107,8,156,2013-01-11
157117,426,14,478,2013-01-11
157118,808,13,864,2013-01-11
157119,835,14,892,2013-01-11
157120,961,2,1021,2013-01-11
157121,356,2,408,2013-01-11
157122,691,6,746,2013-01-11
157123,72,3,121,2013-01-11
157124,158,6,208,2013-01-11
157125,460,3,512,2013-01-11
157126,444,7,496,2013-01-11
157127,914,14,973,2013-01-11
157128,821,15,878,2013-01-11
157129,905,2,964,2013-01-11
157130,661,3,715,2013-01-11
157131,996,14,1056,2013-01-11
157132,706,3,761,2013-01-11
157133,381,2,433,2013-01-11
157134,232,7,282,2013-01-11
157135,908,13,967,2013-01-11
157136,742,16,797,2013-01-11
157137,598,14,652,2013-01-11
157138,623,14,677,2013-01-11
157139,684,15,739,2013-01-11
157140,588,3,642,2013-01-11
157141,997,6,1057,2013-01-11
157142,79,7,128,2013-01-11
157143,384,6,436,2013-01-11
157144,279,6,331,2013-01-11
157145,795,20,851,2013-01-11
157146,583,14,637,2013-01-11
157147,285,2,337,2013-01-11
157148,770,2,826,2013-01-11
157149,549,6,602,2013-01-11
157150,874,15,932,2013-01-11
157151,238,6,288,2013-01-11
157152,96,20,145,2013-01-11
157153,222,7,272,2013-01-11
157154,566,13,620,2013-01-11
157155,806,15,862,2013-01-11
157156,227,15,277,2013-01-11
157157,889,8,948,2013-01-11
157158,827,15,884,2013-01-11
157159,481,7,534,2013-01-11
157160,929,3,989,2013-01-11
157161,503,2,556,2013-01-11
157162,780,13,836,2013-01-11
157163,226,6,276,2013-01-11
157164,565,3,619,2013-01-11
157165,895,20,954,2013-01-11
157166,480,15,533,2013-01-11
157167,638,2,692,2013-01-11
157168,972,7,1032,2013-01-11
157169,742,16,797,2013-01-11
157170,627,7,681,2013-01-12
157171,313,8,365,2013-01-12
157172,668,16,722,2013-01-12
157173,758,3,814,2013-01-12
157174,450,2,502,2013-01-12
157175,671,7,726,2013-01-12
157176,935,16,995,2013-01-12
157177,215,20,265,2013-01-12
157178,393,15,445,2013-01-12
157179,390,2,442,2013-01-12
157180,808,20,864,2013-01-12
157181,534,2,587,2013-01-12
157182,293,3,345,2013-01-12
157183,698,3,753,2013-01-12
157184,393,15,445,2013-01-12
157185,329,3,381,2013-01-14
157186,809,15,865,2013-01-14
157187,148,7,198,2013-01-14
157188,857,16,915,2013-01-14
157189,481,3,534,2013-01-14
157190,263,6,314,2013-01-14
157191,190,14,240,2013-01-14
157192,656,2,710,2013-01-14
157193,68,6,117,2013-01-14
157194,362,8,414,2013-01-14
157195,515,16,568,2013-01-14
157196,860,6,918,2013-01-14
157197,612,14,666,2013-01-14
157198,246,8,296,2013-01-14
157199,186,16,236,2013-01-14
157200,524,6,577,2013-01-14
157201,41,15,89,2013-01-14
157202,987,2,1047,2013-01-14
157203,988,6,1048,2013-01-14
157204,1001,13,1061,2013-01-14
157205,41,20,89,2013-01-14
157206,410,16,462,2013-01-14
157207,801,8,857,2013-01-14
157208,47,20,95,2013-01-14
157209,347,16,399,2013-01-14
157210,828,2,885,2013-01-14
157211,526,13,579,2013-01-14
157212,84,16,133,2013-01-14
157213,958,13,1018,2013-01-14
157214,878,20,937,2013-01-14
157215,407,14,459,2013-01-14
157216,799,8,855,2013-01-14
157217,807,14,863,2013-01-14
157218,530,8,583,2013-01-14
157219,442,8,494,2013-01-14
157220,524,3,577,2013-01-14
157221,221,8,271,2013-01-14
157222,251,6,301,2013-01-14
157223,846,6,903,2013-01-14
157224,555,20,608,2013-01-14
157225,866,7,924,2013-01-14
157226,700,8,755,2013-01-14
157227,623,6,677,2013-01-14
157228,318,8,370,2013-01-14
157229,772,13,828,2013-01-14
157230,221,20,271,2013-01-14
157231,264,6,315,2013-01-14
157232,465,8,517,2013-01-14
157233,472,8,525,2013-01-14
157234,366,16,418,2013-01-14
157235,965,3,1025,2013-01-14
157236,1005,14,1065,2013-01-14
157237,994,3,1054,2013-01-14
157238,47,20,95,2013-01-14
157239,828,2,885,2013-01-14
157240,526,13,579,2013-01-14
157241,555,20,608,2013-01-14
157242,1005,14,1065,2013-01-14
157243,201,3,251,2013-01-15
157244,887,3,946,2013-01-15
157245,370,7,422,2013-01-15
157246,328,20,380,2013-01-15
157247,913,16,972,2013-01-15
157248,482,15,535,2013-01-15
157249,399,20,451,2013-01-15
157250,74,2,123,2013-01-15
157251,335,8,387,2013-01-15
157252,237,6,287,2013-01-15
157253,880,7,939,2013-01-15
157254,415,13,467,2013-01-15
157255,872,15,930,2013-01-15
157256,512,13,565,2013-01-15
157257,435,3,487,2013-01-15
157258,364,8,416,2013-01-15
157259,542,20,595,2013-01-15
157260,379,14,431,2013-01-15
157261,1005,6,1065,2013-01-15
157262,269,15,320,2013-01-15
157263,813,16,869,2013-01-15
157264,188,7,238,2013-01-15
157265,806,15,862,2013-01-15
157266,517,8,570,2013-01-15
157267,697,20,752,2013-01-15
157268,894,6,953,2013-01-15
157269,775,7,831,2013-01-15
157270,153,15,203,2013-01-15
157271,543,6,596,2013-01-15
157272,146,16,196,2013-01-15
157273,561,2,615,2013-01-15
157274,831,7,888,2013-01-15
157275,1002,8,1062,2013-01-15
157276,278,13,330,2013-01-15
157277,668,2,722,2013-01-15
157278,843,3,900,2013-01-15
157279,601,2,655,2013-01-15
157280,373,2,425,2013-01-15
157281,261,3,311,2013-01-15
157282,817,14,874,2013-01-15
157283,198,16,248,2013-01-15
157284,49,20,97,2013-01-15
157285,866,8,924,2013-01-15
157286,985,20,1045,2013-01-15
157287,479,6,532,2013-01-15
157288,86,20,135,2013-01-15
157289,438,15,490,2013-01-15
157290,834,7,891,2013-01-15
157291,382,6,434,2013-01-15
157292,504,3,557,2013-01-15
157293,387,20,439,2013-01-15
157294,248,6,298,2013-01-15
157295,856,3,914,2013-01-15
157296,152,3,202,2013-01-15
157297,864,16,922,2013-01-15
157298,283,14,335,2013-01-15
157299,893,8,952,2013-01-15
157300,914,2,973,2013-01-15
157301,499,7,552,2013-01-15
157302,816,20,873,2013-01-15
157303,746,20,801,2013-01-15
157304,958,6,1018,2013-01-15
157305,852,20,909,2013-01-15
157306,478,16,531,2013-01-15
157307,741,16,796,2013-01-15
157308,410,8,462,2013-01-15
157309,649,14,703,2013-01-15
157310,435,3,487,2013-01-15
157311,806,15,862,2013-01-15
157312,697,20,752,2013-01-15
157313,601,2,655,2013-01-15
157314,261,3,311,2013-01-15
157315,985,20,1045,2013-01-15
157316,834,7,891,2013-01-15
157317,914,2,973,2013-01-15
157318,958,6,1018,2013-01-15
157319,372,20,424,2013-01-16
157320,621,15,675,2013-01-16
157321,373,3,425,2013-01-16
157322,6,16,53,2013-01-16
157323,911,3,970,2013-01-16
